wave,flux
0.603108,0.127606
0.604550,0.129201
0.606002,0.130584
0.607464,0.131689
0.608936,0.132518
0.610418,0.133133
0.611910,0.133639
0.613412,0.134175
0.614925,0.134873
0.616448,0.135785
0.617982,0.136833
0.619527,0.137839
0.621083,0.138666
0.622649,0.139315
0.624227,0.139905
0.625816,0.140545
0.627416,0.141220
0.629027,0.141840
0.630651,0.142348
0.632285,0.142773
0.633932,0.143176
0.635591,0.143585
0.637261,0.143990
0.638944,0.144310
0.640639,0.144559
0.642347,0.144762
0.644067,0.144944
0.645800,0.145115
0.647546,0.145252
0.649305,0.145294
0.651077,0.145165
0.652862,0.144876
0.654660,0.144611
0.656473,0.144655
0.658299,0.145152
0.660138,0.145973
0.661992,0.146833
0.663860,0.147512
0.665742,0.147957
0.667639,0.148222
0.669551,0.148380
0.671477,0.148485
0.673418,0.148564
0.675375,0.148621
0.677346,0.148649
0.679334,0.148649
0.681337,0.148638
0.683355,0.148647
0.685390,0.148697
0.687441,0.148782
0.689508,0.148861
0.691592,0.148893
0.693692,0.148855
0.695809,0.148754
0.697944,0.148621
0.700096,0.148506
0.702265,0.148448
0.704452,0.148440
0.706657,0.148429
0.708879,0.148349
0.711120,0.148171
0.713380,0.147934
0.715658,0.147729
0.717956,0.147653
0.720272,0.147750
0.722607,0.147976
0.724963,0.148241
0.727337,0.148483
0.729732,0.148682
0.732147,0.148834
0.734583,0.148925
0.737039,0.148973
0.739516,0.149057
0.742014,0.149273
0.744533,0.149654
0.747074,0.150151
0.749637,0.150677
0.752221,0.151163
0.754828,0.151578
0.757458,0.151914
0.760110,0.152182
0.762786,0.152410
0.765484,0.152641
0.768206,0.152927
0.770952,0.153300
0.773722,0.153753
0.776516,0.154239
0.779335,0.154690
0.782178,0.155045
0.785047,0.155277
0.787941,0.155407
0.790860,0.155498
0.793805,0.155624
0.796777,0.155810
0.799775,0.156028
0.802799,0.156218
0.805850,0.156348
0.808929,0.156400
0.812035,0.156358
0.815168,0.156233
0.818330,0.156084
0.821520,0.155988
0.824739,0.155965
0.827986,0.155971
0.831262,0.155945
0.834568,0.155833
0.837903,0.155562
0.841269,0.155042
0.844664,0.154253
0.848090,0.153351
0.851547,0.152631
0.855034,0.152302
0.858553,0.152357
0.862103,0.152652
0.865686,0.153101
0.869300,0.153696
0.872946,0.154395
0.876625,0.155088
0.880337,0.155686
0.884082,0.156171
0.887860,0.156546
0.891672,0.156799
0.895517,0.156923
0.899396,0.156955
0.903310,0.156959
0.907258,0.156963
0.911241,0.156941
0.915259,0.156868
0.919311,0.156783
0.923399,0.156763
0.927523,0.156836
0.931682,0.156946
0.935877,0.157014
0.940109,0.157019
0.944376,0.156996
0.948680,0.156982
0.953020,0.157001
0.957397,0.157066
0.961810,0.157186
0.966261,0.157354
0.970749,0.157548
0.975273,0.157746
0.979835,0.157934
0.984435,0.158095
0.989071,0.158203
0.993745,0.158237
0.998457,0.158207
1.003206,0.158165
1.007992,0.158176
1.012817,0.158271
1.017678,0.158431
1.022578,0.158610
1.027514,0.158763
1.032488,0.158879
1.037500,0.158969
1.042549,0.159052
1.047635,0.159143
1.052758,0.159318
1.057919,0.159816
1.063116,0.161035
1.068350,0.163220
1.073620,0.165962
1.078927,0.168084
1.084271,0.168388
1.089650,0.166684
1.095065,0.163961
1.100516,0.161515
1.106001,0.160026
1.111522,0.159417
1.117078,0.159290
1.122668,0.159340
1.128293,0.159456
1.133951,0.159636
1.139643,0.159882
1.145368,0.160147
1.151125,0.160360
1.156915,0.160480
1.162737,0.160520
1.168591,0.160515
1.174476,0.160486
1.180391,0.160441
1.186337,0.160393
1.192313,0.160382
1.198318,0.160465
1.204351,0.160693
1.210414,0.161058
1.216504,0.161481
1.222621,0.161857
1.228766,0.162118
1.234936,0.162260
1.241132,0.162314
1.247354,0.162308
1.253600,0.162239
1.259871,0.162086
1.266165,0.161844
1.272482,0.161569
1.278821,0.161380
1.285182,0.161391
1.291565,0.161605
1.297968,0.161915
1.304391,0.162201
1.310834,0.162418
1.317295,0.162596
1.323775,0.162782
1.330272,0.162994
1.336787,0.163217
1.343318,0.163423
1.349865,0.163601
1.356428,0.163766
1.363005,0.163957
1.369596,0.164208
1.376201,0.164515
1.382819,0.164840
1.389449,0.165124
1.396091,0.165327
1.402744,0.165442
1.409409,0.165495
1.416083,0.165536
1.422766,0.165621
1.429459,0.165790
1.436160,0.166049
1.442870,0.166382
1.449586,0.166750
1.456310,0.167111
1.463040,0.167424
1.469776,0.167676
1.476517,0.167880
1.483263,0.168066
1.490014,0.168261
1.496768,0.168493
1.503526,0.168799
1.510287,0.169186
1.517050,0.169599
1.523816,0.169938
1.530583,0.170113
1.537351,0.170074
1.544120,0.169803
1.550890,0.169293
1.557660,0.168536
1.564429,0.167572
1.571197,0.166484
1.577965,0.165414
1.584730,0.164494
1.591494,0.163771
1.598256,0.163189
1.605015,0.162644
1.611771,0.162060
1.618524,0.161397
1.625274,0.160630
1.632019,0.159773
1.638761,0.158908
1.645498,0.158129
1.652230,0.157435
1.658957,0.156729
1.665679,0.155932
1.672396,0.155099
1.679106,0.154390
1.685811,0.153910
1.692509,0.153605
1.699201,0.153311
1.705886,0.152881
1.712564,0.152257
1.719235,0.151474
1.725899,0.150649
1.732555,0.149952
1.739204,0.149522
1.745844,0.149367
1.752476,0.149355
1.759100,0.149305
1.765716,0.149098
1.772323,0.148708
1.778921,0.148169
1.785511,0.147500
1.792091,0.146689
1.798662,0.145714
1.805224,0.144610
1.811776,0.143493
1.818319,0.142515
1.824852,0.141752
1.831376,0.141144
1.837889,0.140553
1.844393,0.139853
1.850886,0.138980
1.857369,0.137935
1.863842,0.136804
1.870305,0.135759
1.876757,0.134975
1.883198,0.134526
1.889629,0.134351
1.896049,0.134319
1.902459,0.134298
1.908858,0.134182
1.915245,0.133889
1.921622,0.133384
1.927988,0.132704
1.934343,0.131975
1.940687,0.131377
1.947020,0.131056
1.953341,0.131017
1.959652,0.131128
1.965951,0.131226
1.972239,0.131233
1.978516,0.131170
1.984781,0.131093
1.991035,0.131036
1.997277,0.130992
2.003509,0.130927
2.009728,0.130803
2.015937,0.130605
2.022134,0.130353
2.028319,0.130098
2.034493,0.129879
2.040656,0.129702
2.046807,0.129533
2.052946,0.129339
2.059074,0.129114
2.065191,0.128876
2.071296,0.128637
2.077389,0.128394
2.083471,0.128140
2.089542,0.127882
2.095601,0.127634
2.101649,0.127393
2.107685,0.127140
2.113710,0.126862
2.119723,0.126566
2.125725,0.126261
2.131715,0.125941
2.137694,0.125567
2.143661,0.125085
2.149618,0.124461
2.155562,0.123728
2.161496,0.122994
2.167418,0.122394
2.173329,0.121999
2.179228,0.121758
2.185117,0.121557
2.190994,0.121300
2.196859,0.120951
2.202714,0.120533
2.208557,0.120090
2.214390,0.119657
2.220211,0.119242
2.226021,0.118830
2.231820,0.118414
2.237608,0.117998
2.243384,0.117596
2.249150,0.117222
2.254905,0.116897
2.260649,0.116616
2.266382,0.116374
2.272104,0.116142
2.277816,0.115908
2.283516,0.115672
2.289206,0.115451
2.294885,0.115260
2.300553,0.115094
2.306210,0.114923
2.311857,0.114712
2.317493,0.114460
2.323119,0.114201
2.328734,0.113971
2.334339,0.113767
2.339933,0.113545
2.345516,0.113267
2.351089,0.112920
2.356652,0.112544
2.362204,0.112150
2.367746,0.111730
2.373278,0.111268
2.378799,0.110779
2.384310,0.110307
2.389811,0.109882
2.395302,0.109486
2.400783,0.109063
2.406254,0.108578
2.411714,0.108048
2.417165,0.107527
2.422605,0.107056
2.428036,0.106627
2.433456,0.106200
2.438867,0.105744
2.444268,0.105266
2.449659,0.104807
2.455041,0.104399
2.460412,0.104037
2.465774,0.103681
2.471126,0.103299
