wave,flux
0.603108,0.097810
0.604550,0.098397
0.606002,0.098986
0.607464,0.099564
0.608936,0.100117
0.610418,0.100641
0.611910,0.101144
0.613412,0.101643
0.614925,0.102167
0.616448,0.102734
0.617982,0.103336
0.619527,0.103938
0.621083,0.104500
0.622649,0.105014
0.624227,0.105501
0.625816,0.105995
0.627416,0.106486
0.629027,0.106950
0.630651,0.107368
0.632285,0.107746
0.633932,0.108106
0.635591,0.108458
0.637261,0.108839
0.638944,0.109143
0.640639,0.109409
0.642347,0.109648
0.644067,0.109869
0.645800,0.110076
0.647546,0.110260
0.649305,0.110393
0.651077,0.110436
0.652862,0.110392
0.654660,0.110345
0.656473,0.110439
0.658299,0.110757
0.660138,0.111246
0.661992,0.111762
0.663860,0.112190
0.665742,0.112496
0.667639,0.112704
0.669551,0.112851
0.671477,0.112964
0.673418,0.113059
0.675375,0.113136
0.677346,0.113194
0.679334,0.113230
0.681337,0.113254
0.683355,0.113287
0.685390,0.113343
0.687441,0.113417
0.689508,0.113486
0.691592,0.113524
0.693692,0.113516
0.695809,0.113464
0.697944,0.113390
0.700096,0.113326
0.702265,0.113298
0.704452,0.113304
0.706657,0.113308
0.708879,0.113264
0.711120,0.113154
0.713380,0.113001
0.715658,0.112870
0.717956,0.112831
0.720272,0.112914
0.722607,0.113092
0.724963,0.113300
0.727337,0.113493
0.729732,0.113656
0.732147,0.113784
0.734583,0.113866
0.737039,0.113914
0.739516,0.113986
0.742014,0.114153
0.744533,0.114443
0.747074,0.114818
0.749637,0.115213
0.752221,0.115575
0.754828,0.115879
0.757458,0.116117
0.760110,0.116298
0.762786,0.116443
0.765484,0.116590
0.768206,0.116777
0.770952,0.117035
0.773722,0.117358
0.776516,0.117712
0.779335,0.118044
0.782178,0.118307
0.785047,0.118480
0.787941,0.118578
0.790860,0.118656
0.793805,0.118774
0.796777,0.118954
0.799775,0.119177
0.802799,0.119393
0.805850,0.119576
0.808929,0.119708
0.812035,0.119772
0.815168,0.119776
0.818330,0.119766
0.821520,0.119803
0.824739,0.119902
0.827986,0.120025
0.831262,0.120118
0.834568,0.120133
0.837903,0.120006
0.841269,0.119658
0.844664,0.119068
0.848090,0.118367
0.851547,0.117799
0.855034,0.117543
0.858553,0.117595
0.862103,0.117836
0.865686,0.118196
0.869300,0.118671
0.872946,0.119226
0.876625,0.119771
0.880337,0.120231
0.884082,0.120591
0.887860,0.120858
0.891672,0.121021
0.895517,0.121076
0.899396,0.121058
0.903310,0.121023
0.907258,0.120997
0.911241,0.120962
0.915259,0.120895
0.919311,0.120829
0.923399,0.120829
0.927523,0.120920
0.931682,0.121051
0.935877,0.121150
0.940109,0.121200
0.944376,0.121228
0.948680,0.121267
0.953020,0.121333
0.957397,0.121438
0.961810,0.121588
0.966261,0.121775
0.970749,0.121979
0.975273,0.122179
0.979835,0.122362
0.984435,0.122510
0.989071,0.122604
0.993745,0.122627
0.998457,0.122588
1.003206,0.122534
1.007992,0.122522
1.012817,0.122579
1.017678,0.122691
1.022578,0.122819
1.027514,0.122926
1.032488,0.123001
1.037500,0.123057
1.042549,0.123103
1.047635,0.123130
1.052758,0.123125
1.057919,0.123108
1.063116,0.123156
1.068350,0.123338
1.073620,0.123613
1.078927,0.123804
1.084271,0.123740
1.089650,0.123438
1.095065,0.123113
1.100516,0.122980
1.106001,0.123087
1.111522,0.123325
1.117078,0.123565
1.122668,0.123758
1.128293,0.123934
1.133951,0.124141
1.139643,0.124397
1.145368,0.124663
1.151125,0.124880
1.156915,0.125015
1.162737,0.125079
1.168591,0.125099
1.174476,0.125096
1.180391,0.125075
1.186337,0.125049
1.192313,0.125049
1.198318,0.125125
1.204351,0.125318
1.210414,0.125621
1.216504,0.125968
1.222621,0.126270
1.228766,0.126471
1.234936,0.126570
1.241132,0.126591
1.247354,0.126559
1.253600,0.126473
1.259871,0.126317
1.266165,0.126087
1.272482,0.125829
1.278821,0.125644
1.285182,0.125624
1.291565,0.125772
1.297968,0.125999
1.304391,0.126210
1.310834,0.126368
1.317295,0.126499
1.323775,0.126642
1.330272,0.126812
1.336787,0.126998
1.343318,0.127177
1.349865,0.127341
1.356428,0.127501
1.363005,0.127688
1.369596,0.127926
1.376201,0.128213
1.382819,0.128516
1.389449,0.128788
1.396091,0.128997
1.402744,0.129137
1.409409,0.129228
1.416083,0.129310
1.422766,0.129423
1.429459,0.129598
1.436160,0.129838
1.442870,0.130128
1.449586,0.130437
1.456310,0.130736
1.463040,0.130991
1.469776,0.131193
1.476517,0.131355
1.483263,0.131497
1.490014,0.131641
1.496768,0.131808
1.503526,0.132025
1.510287,0.132297
1.517050,0.132581
1.523816,0.132804
1.530583,0.132901
1.537351,0.132835
1.544120,0.132595
1.550890,0.132176
1.557660,0.131575
1.564429,0.130826
1.571197,0.129987
1.577965,0.129162
1.584730,0.128447
1.591494,0.127875
1.598256,0.127407
1.605015,0.126968
1.611771,0.126508
1.618524,0.126000
1.625274,0.125430
1.632019,0.124810
1.638761,0.124200
1.645498,0.123667
1.652230,0.123210
1.658957,0.122767
1.665679,0.122284
1.672396,0.121799
1.679106,0.121414
1.685811,0.121194
1.692509,0.121100
1.699201,0.121018
1.705886,0.120846
1.712564,0.120546
1.719235,0.120139
1.725899,0.119696
1.732555,0.119325
1.739204,0.119109
1.745844,0.119045
1.752476,0.119044
1.759100,0.118985
1.765716,0.118791
1.772323,0.118444
1.778921,0.117970
1.785511,0.117390
1.792091,0.116698
1.798662,0.115889
1.805224,0.114989
1.811776,0.114075
1.818319,0.113243
