wave,flux
0.603108,0.075602
0.604550,0.076455
0.606002,0.077284
0.607464,0.078150
0.608936,0.079048
0.610418,0.079931
0.611910,0.080727
0.613412,0.081359
0.614925,0.081764
0.616448,0.081946
0.617982,0.081986
0.619527,0.082010
0.621083,0.082104
0.622649,0.082270
0.624227,0.082450
0.625816,0.082620
0.627416,0.082787
0.629027,0.082995
0.630651,0.083261
0.632285,0.083565
0.633932,0.083881
0.635591,0.084199
0.637261,0.084560
0.638944,0.084905
0.640639,0.085263
0.642347,0.085622
0.644067,0.085972
0.645800,0.086307
0.647546,0.086630
0.649305,0.086946
0.651077,0.087254
0.652862,0.087547
0.654660,0.087795
0.656473,0.087977
0.658299,0.088103
0.660138,0.088204
0.661992,0.088305
0.663860,0.088412
0.665742,0.088519
0.667639,0.088617
0.669551,0.088701
0.671477,0.088771
0.673418,0.088827
0.675375,0.088870
0.677346,0.088900
0.679334,0.088918
0.681337,0.088925
0.683355,0.088928
0.685390,0.088932
0.687441,0.088937
0.689508,0.088940
0.691592,0.088935
0.693692,0.088915
0.695809,0.088880
0.697944,0.088837
0.700096,0.088796
0.702265,0.088767
0.704452,0.088751
0.706657,0.088738
0.708879,0.088709
0.711120,0.088655
0.713380,0.088586
0.715658,0.088525
0.717956,0.088506
0.720272,0.088546
0.722607,0.088634
0.724963,0.088744
0.727337,0.088853
0.729732,0.088956
0.732147,0.089047
0.734583,0.089120
0.737039,0.089180
0.739516,0.089256
0.742014,0.089386
0.744533,0.089586
0.747074,0.089840
0.749637,0.090113
0.752221,0.090377
0.754828,0.090614
0.757458,0.090821
0.760110,0.090999
0.762786,0.091159
0.765484,0.091320
0.768206,0.091507
0.770952,0.091735
0.773722,0.092002
0.776516,0.092287
0.779335,0.092557
0.782178,0.092780
0.785047,0.092940
0.787941,0.093047
0.790860,0.093131
0.793805,0.093231
0.796777,0.093360
0.799775,0.093510
0.802799,0.093643
0.805850,0.093744
0.808929,0.093801
0.812035,0.093806
0.815168,0.093764
0.818330,0.093707
0.821520,0.093679
0.824739,0.093694
0.827986,0.093726
0.831262,0.093741
0.834568,0.093705
0.837903,0.093574
0.841269,0.093292
0.844664,0.092843
0.848090,0.092318
0.851547,0.091900
0.855034,0.091719
0.858553,0.091773
0.862103,0.091978
0.865686,0.092282
0.869300,0.092681
0.872946,0.093150
0.876625,0.093619
0.880337,0.094031
0.884082,0.094372
0.887860,0.094643
0.891672,0.094836
0.895517,0.094944
0.899396,0.094991
0.903310,0.095019
0.907258,0.095044
0.911241,0.095052
0.915259,0.095025
0.919311,0.094987
0.923399,0.094992
0.927523,0.095060
0.931682,0.095153
0.935877,0.095218
0.940109,0.095239
0.944376,0.095240
0.948680,0.095248
0.953020,0.095278
0.957397,0.095340
0.961810,0.095441
0.966261,0.095575
0.970749,0.095728
0.975273,0.095884
0.979835,0.096033
0.984435,0.096163
0.989071,0.096256
0.993745,0.096297
0.998457,0.096293
1.003206,0.096279
1.007992,0.096302
1.012817,0.096385
1.017678,0.096515
1.022578,0.096658
1.027514,0.096783
1.032488,0.096881
1.037500,0.096960
1.042549,0.097033
1.047635,0.097107
1.052758,0.097222
1.057919,0.097519
1.063116,0.098239
1.068350,0.099535
1.073620,0.101164
1.078927,0.102420
1.084271,0.102586
1.089650,0.101557
1.095065,0.099936
1.100516,0.098508
1.106001,0.097669
1.111522,0.097355
1.117078,0.097316
1.122668,0.097367
1.128293,0.097449
1.133951,0.097571
1.139643,0.097737
1.145368,0.097913
1.151125,0.098047
1.156915,0.098112
1.162737,0.098116
1.168591,0.098086
1.174476,0.098039
1.180391,0.097981
1.186337,0.097923
1.192313,0.097894
1.198318,0.097937
1.204351,0.098090
1.210414,0.098347
1.216504,0.098653
1.222621,0.098930
1.228766,0.099131
1.234936,0.099254
1.241132,0.099322
1.247354,0.099355
1.253600,0.099351
1.259871,0.099291
1.266165,0.099171
1.272482,0.099030
1.278821,0.098954
1.285182,0.099021
1.291565,0.099231
1.297968,0.099507
1.304391,0.099760
1.310834,0.099957
