wave,flux
0.603108,0.074730
0.604550,0.075349
0.606002,0.075927
0.607464,0.076475
0.608936,0.076988
0.610418,0.077461
0.611910,0.077891
0.613412,0.078278
0.614925,0.078631
0.616448,0.078964
0.617982,0.079292
0.619527,0.079624
0.621083,0.079959
0.622649,0.080299
0.624227,0.080647
0.625816,0.081024
0.627416,0.081427
0.629027,0.081848
0.630651,0.082276
0.632285,0.082707
0.633932,0.083144
0.635591,0.083586
0.637261,0.084031
0.638944,0.084459
0.640639,0.084867
0.642347,0.085254
0.644067,0.085621
0.645800,0.085964
0.647546,0.086276
0.649305,0.086538
0.651077,0.086725
0.652862,0.086836
0.654660,0.086907
0.656473,0.087013
0.658299,0.087202
0.660138,0.087455
0.661992,0.087704
0.663860,0.087893
0.665742,0.088006
0.667639,0.088056
0.669551,0.088065
0.671477,0.088051
0.673418,0.088024
0.675375,0.087988
0.677346,0.087946
0.679334,0.087898
0.681337,0.087854
0.683355,0.087829
0.685390,0.087831
0.687441,0.087857
0.689508,0.087892
0.691592,0.087920
0.693692,0.087930
0.695809,0.087923
0.697944,0.087909
0.700096,0.087904
0.702265,0.087925
0.704452,0.087969
0.706657,0.088011
0.708879,0.088025
0.711120,0.087996
0.713380,0.087938
0.715658,0.087886
0.717956,0.087884
0.720272,0.087952
0.722607,0.088072
0.724963,0.088209
0.727337,0.088334
0.729732,0.088440
0.732147,0.088524
0.734583,0.088581
0.737039,0.088618
0.739516,0.088674
0.742014,0.088796
0.744533,0.089000
0.747074,0.089267
0.749637,0.089556
0.752221,0.089835
0.754828,0.090088
0.757458,0.090310
0.760110,0.090508
0.762786,0.090690
0.765484,0.090881
0.768206,0.091103
0.770952,0.091373
0.773722,0.091688
0.776516,0.092023
0.779335,0.092340
0.782178,0.092608
0.785047,0.092810
0.787941,0.092954
0.790860,0.093073
0.793805,0.093207
0.796777,0.093366
0.799775,0.093539
0.802799,0.093689
0.805850,0.093800
0.808929,0.093862
0.812035,0.093867
0.815168,0.093819
0.818330,0.093753
0.821520,0.093712
0.824739,0.093708
0.827986,0.093718
0.831262,0.093706
0.834568,0.093643
0.837903,0.093487
0.841269,0.093184
0.844664,0.092723
0.848090,0.092192
0.851547,0.091763
0.855034,0.091561
0.858553,0.091581
0.862103,0.091744
0.865686,0.091999
0.869300,0.092342
0.872946,0.092750
0.876625,0.093158
0.880337,0.093514
0.884082,0.093805
0.887860,0.094033
0.891672,0.094191
0.895517,0.094275
0.899396,0.094306
0.903310,0.094323
0.907258,0.094342
0.911241,0.094351
0.915259,0.094331
0.919311,0.094307
0.923399,0.094326
0.927523,0.094404
0.931682,0.094508
0.935877,0.094586
0.940109,0.094628
0.944376,0.094652
0.948680,0.094682
0.953020,0.094731
0.957397,0.094809
0.961810,0.094919
0.966261,0.095057
0.970749,0.095209
0.975273,0.095361
0.979835,0.095502
0.984435,0.095623
0.989071,0.095707
0.993745,0.095742
0.998457,0.095733
1.003206,0.095715
1.007992,0.095728
1.012817,0.095793
1.017678,0.095898
1.022578,0.096014
1.027514,0.096114
1.032488,0.096190
1.037500,0.096252
1.042549,0.096310
1.047635,0.096374
1.052758,0.096493
1.057919,0.096816
1.063116,0.097594
1.068350,0.098982
1.073620,0.100722
1.078927,0.102074
1.084271,0.102284
1.089650,0.101233
1.095065,0.099544
1.100516,0.098032
1.106001,0.097125
1.111522,0.096770
1.117078,0.096717
1.122668,0.096774
1.128293,0.096870
1.133951,0.097006
1.139643,0.097183
1.145368,0.097369
1.151125,0.097520
1.156915,0.097611
1.162737,0.097649
1.168591,0.097655
1.174476,0.097646
1.180391,0.097626
1.186337,0.097603
1.192313,0.097603
1.198318,0.097664
1.204351,0.097817
1.210414,0.098059
1.216504,0.098337
1.222621,0.098586
1.228766,0.098763
1.234936,0.098864
1.241132,0.098910
1.247354,0.098919
1.253600,0.098889
1.259871,0.098806
1.266165,0.098667
1.272482,0.098506
1.278821,0.098402
1.285182,0.098423
1.291565,0.098574
1.297968,0.098784
1.304391,0.098978
1.310834,0.099126
1.317295,0.099247
1.323775,0.099372
1.330272,0.099510
1.336787,0.099652
1.343318,0.099781
1.349865,0.099889
1.356428,0.099986
1.363005,0.100097
1.369596,0.100243
